Benchmark Name;Function Name;Execution;Number of vertices;Number of edges;Min count;Max count;Hottest blocks;Random hottest guess;Random hit;Nested hottest guess;Nested hit;Predictor guess;Predictor hit;Profile guess;Profile hit;Benchmark link
automotive_bitcount;main1;9;13;18;0;511000000;23;23;1;23;1;23;1;20_eheader.preheader;0;https://github.com/lac-dcc/hydra/blob/main/Benchmark/cBench/automotive_bitcount
automotive_bitcount;main1;10;13;18;0;496125000;23;23;1;23;1;23;1;20_eheader.preheader;0;https://github.com/lac-dcc/hydra/blob/main/Benchmark/cBench/automotive_bitcount
automotive_bitcount;main1;11;13;18;0;551250000;23;23;1;23;1;23;1;20_eheader.preheader;0;https://github.com/lac-dcc/hydra/blob/main/Benchmark/cBench/automotive_bitcount
automotive_bitcount;main1;12;13;18;0;717500000;23;23;1;23;1;23;1;20_eheader.preheader;0;https://github.com/lac-dcc/hydra/blob/main/Benchmark/cBench/automotive_bitcount
automotive_bitcount;main1;13;13;18;0;649687500;23;23;1;23;1;23;1;20_eheader.preheader;0;https://github.com/lac-dcc/hydra/blob/main/Benchmark/cBench/automotive_bitcount
automotive_bitcount;main1;14;13;18;0;635162500;23;23;1;23;1;23;1;20_eheader.preheader;0;https://github.com/lac-dcc/hydra/blob/main/Benchmark/cBench/automotive_bitcount
automotive_bitcount;main1;15;13;18;0;625625000;23;23;1;23;1;23;1;20_eheader.preheader;0;https://github.com/lac-dcc/hydra/blob/main/Benchmark/cBench/automotive_bitcount
automotive_bitcount;main1;16;13;18;0;620812500;23;23;1;23;1;23;1;20_eheader.preheader;0;https://github.com/lac-dcc/hydra/blob/main/Benchmark/cBench/automotive_bitcount
automotive_bitcount;main1;17;13;18;0;617050000;23;23;1;23;1;23;1;20_eheader.preheader;0;https://github.com/lac-dcc/hydra/blob/main/Benchmark/cBench/automotive_bitcount
automotive_bitcount;main1;18;13;18;0;617050000;23;23;1;23;1;23;1;20_eheader.preheader;0;https://github.com/lac-dcc/hydra/blob/main/Benchmark/cBench/automotive_bitcount
automotive_bitcount;main1;19;13;18;0;613112500;23;23;1;23;1;23;1;20_eheader.preheader;0;https://github.com/lac-dcc/hydra/blob/main/Benchmark/cBench/automotive_bitcount
automotive_bitcount;main1;20;13;18;0;608475000;23;23;1;23;1;23;1;20_eheader.preheader;0;https://github.com/lac-dcc/hydra/blob/main/Benchmark/cBench/automotive_bitcount
automotive_bitcount;ntbl_bitcnt;1;3;4;443116880;533116880;"0;11";0;1;0;1;0;1;0;1;https://github.com/lac-dcc/hydra/blob/main/Benchmark/cBench/automotive_bitcount
automotive_bitcount;ntbl_bitcnt;2;3;4;443562834;526437834;"0;11";0;1;0;1;0;1;0;1;https://github.com/lac-dcc/hydra/blob/main/Benchmark/cBench/automotive_bitcount
automotive_bitcount;ntbl_bitcnt;3;3;4;451708556;532958556;"0;11";0;1;0;1;0;1;0;1;https://github.com/lac-dcc/hydra/blob/main/Benchmark/cBench/automotive_bitcount
automotive_bitcount;ntbl_bitcnt;4;3;4;444094714;522469714;"0;11";0;1;0;1;0;1;0;1;https://github.com/lac-dcc/hydra/blob/main/Benchmark/cBench/automotive_bitcount
automotive_bitcount;ntbl_bitcnt;5;3;4;440601090;517476090;"0;11";0;1;0;1;0;1;0;1;https://github.com/lac-dcc/hydra/blob/main/Benchmark/cBench/automotive_bitcount
automotive_bitcount;ntbl_bitcnt;6;3;4;459854278;539479278;"0;11";0;1;0;1;0;1;0;1;https://github.com/lac-dcc/hydra/blob/main/Benchmark/cBench/automotive_bitcount
automotive_bitcount;ntbl_bitcnt;7;3;4;455107466;533482466;"0;11";0;1;0;1;0;1;0;1;https://github.com/lac-dcc/hydra/blob/main/Benchmark/cBench/automotive_bitcount
automotive_bitcount;ntbl_bitcnt;8;3;4;426360654;499485654;"0;11";0;1;0;1;0;1;0;1;https://github.com/lac-dcc/hydra/blob/main/Benchmark/cBench/automotive_bitcount
automotive_bitcount;ntbl_bitcnt;9;3;4;426987248;499987248;"0;11";0;1;0;1;0;1;0;1;https://github.com/lac-dcc/hydra/blob/main/Benchmark/cBench/automotive_bitcount
automotive_bitcount;ntbl_bitcnt;10;3;4;415613842;486488842;"0;11";0;1;0;1;0;1;0;1;https://github.com/lac-dcc/hydra/blob/main/Benchmark/cBench/automotive_bitcount
automotive_bitcount;ntbl_bitcnt;11;3;4;462863842;541613842;"0;11";0;1;0;1;0;1;0;1;https://github.com/lac-dcc/hydra/blob/main/Benchmark/cBench/automotive_bitcount
